name,ingredients,diet,prep_time,cook_time,flavor_profile,course,state,region,ingredient_count,total_time,difficulty,time_category,ingredient_list,search_text
Balu shahi,"Maida flour, yogurt, oil, sugar",vegetarian,45,25,sweet,dessert,west bengal,east,4,70,4.8,slow,"['maida flour', 'yogurt', 'oil', 'sugar']","balu shahi maida flour, yogurt, oil, sugar west bengal sweet"
Boondi,"Gram flour, ghee, sugar",vegetarian,80,30,sweet,dessert,rajasthan,west,3,110,6.5,slow,"['gram flour', 'ghee', 'sugar']","boondi gram flour, ghee, sugar rajasthan sweet"
Gajar ka halwa,"Carrots, milk, sugar, ghee, cashews, raisins",vegetarian,15,60,sweet,dessert,punjab,north,6,75,5.8,slow,"['carrots', 'milk', 'sugar', 'ghee', 'cashews', 'raisins']","gajar ka halwa carrots, milk, sugar, ghee, cashews, raisins punjab sweet"
Ghevar,"Flour, ghee, kewra, milk, clarified butter, sugar, almonds, pistachio, saffron, green cardamom",vegetarian,15,30,sweet,dessert,rajasthan,west,10,45,5.6,medium,"['flour', 'ghee', 'kewra', 'milk', 'clarified butter', 'sugar', 'almonds', 'pistachio', 'saffron', 'green cardamom']","ghevar flour, ghee, kewra, milk, clarified butter, sugar, almonds, pistachio, saffron, green cardamom rajasthan sweet"
Gulab jamun,"Milk powder, plain flour, baking powder, ghee, milk, sugar, water, rose water",vegetarian,15,40,sweet,dessert,west bengal,east,8,55,5.4,medium,"['milk powder', 'plain flour', 'baking powder', 'ghee', 'milk', 'sugar', 'water', 'rose water']","gulab jamun milk powder, plain flour, baking powder, ghee, milk, sugar, water, rose water west bengal sweet"
Imarti,"Sugar syrup, lentil flour",vegetarian,10,50,sweet,dessert,west bengal,east,2,60,3.7,slow,"['sugar syrup', 'lentil flour']","imarti sugar syrup, lentil flour west bengal sweet"
Jalebi,"Maida, corn flour, baking soda, vinegar, curd, water, turmeric, saffron, cardamom",vegetarian,10,50,sweet,dessert,uttar pradesh,north,9,60,6,slow,"['maida', 'corn flour', 'baking soda', 'vinegar', 'curd', 'water', 'turmeric', 'saffron', 'cardamom']","jalebi maida, corn flour, baking soda, vinegar, curd, water, turmeric, saffron, cardamom uttar pradesh sweet"
Kaju katli,"Cashews, ghee, cardamom, sugar",vegetarian,10,20,sweet,dessert,pan-india,multi-regional,4,30,2.8,medium,"['cashews', 'ghee', 'cardamom', 'sugar']","kaju katli cashews, ghee, cardamom, sugar pan-india sweet"
Kalakand,"Milk, cottage cheese, sugar",vegetarian,20,30,sweet,dessert,west bengal,east,3,50,3.5,medium,"['milk', 'cottage cheese', 'sugar']","kalakand milk, cottage cheese, sugar west bengal sweet"
Kheer,"Milk, rice, sugar, dried fruits",vegetarian,10,40,sweet,dessert,pan-india,multi-regional,4,50,3.8,medium,"['milk', 'rice', 'sugar', 'dried fruits']","kheer milk, rice, sugar, dried fruits pan-india sweet"
Laddu,"Gram flour, ghee, sugar",vegetarian,10,40,sweet,dessert,pan-india,multi-regional,3,50,3.5,medium,"['gram flour', 'ghee', 'sugar']","laddu gram flour, ghee, sugar pan-india sweet"
Lassi,"Yogurt, milk, nuts, sugar",vegetarian,5,5,sweet,dessert,punjab,north,4,10,1.8,quick,"['yogurt', 'milk', 'nuts', 'sugar']","lassi yogurt, milk, nuts, sugar punjab sweet"
Nankhatai,"Refined flour, besan, ghee, powdered sugar, yoghurt, green cardamom",vegetarian,20,30,sweet,dessert,pan-india,multi-regional,6,50,4.5,medium,"['refined flour', 'besan', 'ghee', 'powdered sugar', 'yoghurt', 'green cardamom']","nankhatai refined flour, besan, ghee, powdered sugar, yoghurt, green cardamom pan-india sweet"
Petha,"Firm white pumpkin, sugar, kitchen lime, alum powder",vegetarian,10,30,sweet,dessert,uttar pradesh,north,4,40,3.3,medium,"['firm white pumpkin', 'sugar', 'kitchen lime', 'alum powder']","petha firm white pumpkin, sugar, kitchen lime, alum powder uttar pradesh sweet"
Phirni,"Rice, sugar, nuts",vegetarian,30,20,sweet,dessert,odisha,east,3,50,3.5,medium,"['rice', 'sugar', 'nuts']","phirni rice, sugar, nuts odisha sweet"
Rabri,"Condensed milk, sugar, spices, nuts",vegetarian,10,45,sweet,dessert,uttar pradesh,north,4,55,4.1,medium,"['condensed milk', 'sugar', 'spices', 'nuts']","rabri condensed milk, sugar, spices, nuts uttar pradesh sweet"
Sheera,"Semolina, ghee, nuts, milk",vegetarian,10,25,sweet,dessert,maharashtra,west,4,35,3.1,medium,"['semolina', 'ghee', 'nuts', 'milk']","sheera semolina, ghee, nuts, milk maharashtra sweet"
Singori,"Khoa, coconut, molu leaf",vegetarian,10,20,sweet,dessert,uttarakhand,north,3,30,2.5,medium,"['khoa', 'coconut', 'molu leaf']","singori khoa, coconut, molu leaf uttarakhand sweet"
Sohan halwa,"Corn flour, ghee, dry fruits",vegetarian,10,60,sweet,dessert,uttar pradesh,north,3,70,4.5,slow,"['corn flour', 'ghee', 'dry fruits']","sohan halwa corn flour, ghee, dry fruits uttar pradesh sweet"
Sohan papdi,"Gram flour, ghee, sugar, milk, cardamom",vegetarian,10,60,sweet,dessert,maharashtra,west,5,70,5.2,slow,"['gram flour', 'ghee', 'sugar', 'milk', 'cardamom']","sohan papdi gram flour, ghee, sugar, milk, cardamom maharashtra sweet"
Chhena jalebi,"Chhena, sugar, ghee",vegetarian,10,50,sweet,dessert,odisha,east,3,60,4,slow,"['chhena', 'sugar', 'ghee']","chhena jalebi chhena, sugar, ghee odisha sweet"
Chhena kheeri,"Chhena, sugar, milk",vegetarian,10,60,sweet,dessert,odisha,east,3,70,4.5,slow,"['chhena', 'sugar', 'milk']","chhena kheeri chhena, sugar, milk odisha sweet"
Chhena poda,"Sugar, chenna cheese",vegetarian,10,45,sweet,dessert,odisha,east,2,55,3.4,medium,"['sugar', 'chenna cheese']","chhena poda sugar, chenna cheese odisha sweet"
Cham cham,"Flour, cream, sugar, saffron, lemon juice, coconut flakes",vegetarian,40,60,sweet,dessert,west bengal,east,6,100,7,slow,"['flour', 'cream', 'sugar', 'saffron', 'lemon juice', 'coconut flakes']","cham cham flour, cream, sugar, saffron, lemon juice, coconut flakes west bengal sweet"
Kheer sagar,"Chenna, condensed milk, sugar, saffron, cardamom",vegetarian,25,60,sweet,dessert,odisha,east,5,85,5.9,slow,"['chenna', 'condensed milk', 'sugar', 'saffron', 'cardamom']","kheer sagar chenna, condensed milk, sugar, saffron, cardamom odisha sweet"
Ledikeni,"Chhena, sugar, ghee",vegetarian,45,45,sweet,dessert,west bengal,east,3,90,5.5,slow,"['chhena', 'sugar', 'ghee']","ledikeni chhena, sugar, ghee west bengal sweet"
Lyangcha,"Flour, fried milk power, sugar syrup",vegetarian,20,30,sweet,dessert,assam,north east,3,50,3.5,medium,"['flour', 'fried milk power', 'sugar syrup']","lyangcha flour, fried milk power, sugar syrup assam sweet"
Malapua,"Yoghurt, refined flour, ghee, fennel seeds",vegetarian,10,120,sweet,dessert,bihar,north,4,130,7.8,slow,"['yoghurt', 'refined flour', 'ghee', 'fennel seeds']","malapua yoghurt, refined flour, ghee, fennel seeds bihar sweet"
Mihidana,"Besan flour, sugar, ghee",vegetarian,15,30,sweet,dessert,west bengal,east,3,45,3.2,medium,"['besan flour', 'sugar', 'ghee']","mihidana besan flour, sugar, ghee west bengal sweet"
Misti doi,"Milk, jaggery",vegetarian,480,30,sweet,dessert,west bengal,east,2,510,10,slow,"['milk', 'jaggery']","misti doi milk, jaggery west bengal sweet"
Pantua,"Chhena, sugar, ghee, flour",vegetarian,45,45,sweet,dessert,west bengal,east,4,90,5.8,slow,"['chhena', 'sugar', 'ghee', 'flour']","pantua chhena, sugar, ghee, flour west bengal sweet"
Pithe,"Rice flour, wheat flour",vegetarian,15,35,sweet,dessert,assam,north east,2,50,3.2,medium,"['rice flour', 'wheat flour']","pithe rice flour, wheat flour assam sweet"
Rasabali,"Chenna, sweetened milk",vegetarian,15,30,sweet,dessert,odisha,east,2,45,2.9,medium,"['chenna', 'sweetened milk']","rasabali chenna, sweetened milk odisha sweet"
Ras malai,"Chhena, reduced milk, pistachio",vegetarian,180,60,sweet,dessert,west bengal,east,3,240,10,slow,"['chhena', 'reduced milk', 'pistachio']","ras malai chhena, reduced milk, pistachio west bengal sweet"
Rasgulla,"Chhena, sugar, cardamom",vegetarian,10,90,sweet,dessert,west bengal,east,3,100,6,slow,"['chhena', 'sugar', 'cardamom']","rasgulla chhena, sugar, cardamom west bengal sweet"
Sandesh,"Milk, sugar, saffron, cardamom",vegetarian,30,20,sweet,dessert,west bengal,east,4,50,3.8,medium,"['milk', 'sugar', 'saffron', 'cardamom']","sandesh milk, sugar, saffron, cardamom west bengal sweet"
Adhirasam,"Rice flour, jaggery, ghee, vegetable oil, elachi",vegetarian,10,50,sweet,dessert,west bengal,east,5,60,4.7,slow,"['rice flour', 'jaggery', 'ghee', 'vegetable oil', 'elachi']","adhirasam rice flour, jaggery, ghee, vegetable oil, elachi west bengal sweet"
Ariselu,"Rice flour, jaggery, ghee",vegetarian,15,75,sweet,dessert,andhra pradesh,south,3,90,5.5,slow,"['rice flour', 'jaggery', 'ghee']","ariselu rice flour, jaggery, ghee andhra pradesh sweet"
Bandar laddu,"Besan, jaggery, cardamom powder, ghee, cashews and raisins, jaggery syrup, sugar",vegetarian,5,35,sweet,dessert,andhra pradesh,south,7,40,4.3,medium,"['besan', 'jaggery', 'cardamom powder', 'ghee', 'cashews and raisins', 'jaggery syrup', 'sugar']","bandar laddu besan, jaggery, cardamom powder, ghee, cashews and raisins, jaggery syrup, sugar andhra pradesh sweet"
Chikki,"Peanuts, jaggery",vegetarian,10,20,sweet,dessert,maharashtra,west,2,30,2.2,medium,"['peanuts', 'jaggery']","chikki peanuts, jaggery maharashtra sweet"
Dharwad pedha,"Milk, Sugar, Dharwadi buffalo milk",vegetarian,20,60,sweet,dessert,karnataka,south,3,80,5,slow,"['milk', 'sugar', 'dharwadi buffalo milk']","dharwad pedha milk, sugar, dharwadi buffalo milk karnataka sweet"
Double ka meetha,"Loaf bread, milk",vegetarian,20,30,sweet,dessert,telangana,south,2,50,3.2,medium,"['loaf bread', 'milk']","double ka meetha loaf bread, milk telangana sweet"
Gavvalu,"Rice flour, sugar, salt, ghee, semolina",vegetarian,10,30,sweet,dessert,andhra pradesh,south,5,40,3.7,medium,"['rice flour', 'sugar', 'salt', 'ghee', 'semolina']","gavvalu rice flour, sugar, salt, ghee, semolina andhra pradesh sweet"
Kakinada khaja,"Wheat flour, sugar",vegetarian,10,30,sweet,dessert,andhra pradesh,south,2,40,2.7,medium,"['wheat flour', 'sugar']","kakinada khaja wheat flour, sugar andhra pradesh sweet"
Kuzhi paniyaram,"Black lentils, rice",vegetarian,10,20,sweet,dessert,kerala,south,2,30,2.2,medium,"['black lentils', 'rice']","kuzhi paniyaram black lentils, rice kerala sweet"
